,08:40,09:50,13:20,15:40,18:00,<-,ÀÏÀÚ
0,0,-1,0,-1,-1,,2020. 04. 01
1,0,-1,-1,-1,-1,,2020. 04. 02
2,0,-1,-1,-1,-1,,2020. 04. 03
3,-1,0,0,-1,-1,,2020. 04. 04
4,-1,0,0,-1,-1,,2020. 04. 05
5,0,-1,-1,-1,-1,,2020. 04. 06
6,0,-1,-1,-1,-1,,2020. 04. 07
7,0,-1,0,-1,-1,,2020. 04. 08
8,0,-1,-1,-1,-1,,2020. 04. 09
9,0,-1,-1,-1,-1,,2020. 04. 10
10,0,0,0,-1,-1,,2020. 04. 11
11,0,0,0,-1,-1,,2020. 04. 12
12,0,-1,-1,-1,-1,,2020. 04. 13
13,0,-1,-1,-1,-1,,2020. 04. 14
14,0,-1,0,-1,-1,,2020. 04. 15
15,0,-1,-1,-1,-1,,2020. 04. 16
16,0,-1,-1,-1,-1,,2020. 04. 17
17,-1,0,0,-1,-1,,2020. 04. 18
18,-1,0,0,-1,-1,,2020. 04. 19
19,0,13,-1,9,28,,2020. 04. 20
20,0,17,5,15,34,,2020. 04. 21
21,0,22,0,5,18,,2020. 04. 22
22,0,19,19,24,38,,2020. 04. 23
23,0,24,17,13,21,,2020. 04. 24
24,10,0,0,-1,15,,2020. 04. 25
25,0,0,0,-1,32,,2020. 04. 26
26,0,23,19,22,39,,2020. 04. 27
27,0,23,20,23,40,,2020. 04. 28
28,0,21,0,17,24,,2020. 04. 29
29,0,18,17,17,37,,2020. 04. 30
30,0,12,22,18,21,,2020. 05. 01
31,22,0,0,8,19,,2020. 05. 02
32,22,0,0,16,0,,2020. 05. 03
33,0,20,22,24,0,,2020. 05. 04
34,0,22,20,30,0,,2020. 05. 05
35,0,38,0,23,31,,2020. 05. 06
36,0,36,34,33,0,,2020. 05. 07
37,0,36,28,25,33,,2020. 05. 08
38,30,0,0,19,17,,2020. 05. 09
