,11:00,13:20,15:40,18:00,<-,ÀÏÀÚ
0,0,-1,-1,-1,,2020. 04. 01
1,0,-1,-1,-1,,2020. 04. 02
2,0,-1,-1,-1,,2020. 04. 03
3,-1,0,0,0,,2020. 04. 04
4,-1,0,0,0,,2020. 04. 05
5,0,-1,-1,-1,,2020. 04. 06
6,0,-1,-1,0,,2020. 04. 07
7,0,-1,-1,-1,,2020. 04. 08
8,0,-1,2,-1,,2020. 04. 09
9,0,-1,-1,-1,,2020. 04. 10
10,0,15,21,15,,2020. 04. 13
11,0,22,20,1,,2020. 04. 14
12,0,15,21,17,,2020. 04. 16
13,0,14,17,21,,2020. 04. 17
14,-1,0,0,0,,2020. 04. 18
15,0,23,30,30,,2020. 04. 20
16,0,34,37,41,,2020. 04. 21
17,0,37,40,41,,2020. 04. 22
18,0,41,40,0,,2020. 04. 23
19,0,34,36,32,,2020. 04. 24
