,0,1,2,3,4,<-,ÀÏÀÚ
0,0,0,0,0,-1,,2020. 04. 01
1,0,0,-1,0,0,,2020. 04. 02
2,0,0,0,0,-1,,2020. 04. 03
3,0,0,-1,0,-1,,2020. 04. 05
4,0,0,0,0,-1,,2020. 04. 06
5,0,0,4,0,-1,,2020. 04. 07
6,0,0,0,0,0,,2020. 04. 08
7,0,0,0,0,8,,2020. 04. 09
8,0,0,0,0,0,,2020. 04. 10
9,-1,0,0,0,-1,,2020. 04. 11
10,0,0,0,0,16,,2020. 04. 13
11,0,0,0,0,17,,2020. 04. 14
12,0,13,0,0,0,,2020. 04. 15
13,0,0,0,0,16,,2020. 04. 16
14,0,0,0,0,13,,2020. 04. 17
15,7,0,0,0,0,,2020. 04. 18
16,0,0,10,0,0,,2020. 04. 19
17,0,0,0,0,16,,2020. 04. 20
18,0,0,0,0,17,,2020. 04. 21
19,0,0,0,18,0,,2020. 04. 22
20,0,0,0,0,18,,2020. 04. 23
21,0,0,0,0,17,,2020. 04. 24
22,0,0,16,0,17,,2020. 04. 25
23,0,13,0,0,0,,2020. 04. 26
24,0,0,0,0,18,,2020. 04. 27
25,0,0,18,0,0,,2020. 04. 28
26,0,0,0,0,18,,2020. 04. 29
27,0,0,17,0,0,,2020. 04. 30
