,0,1,2,3,4,<-,ÀÏÀÚ
0,0,-1,0,0,-1,,2020. 04. 01
1,0,-1,0,0,0,,2020. 04. 02
2,0,-1,0,-1,0,,2020. 04. 03
3,0,-1,0,0,-1,,2020. 04. 04
4,0,0,0,0,-1,,2020. 04. 06
5,0,0,0,0,-1,,2020. 04. 07
6,0,-1,0,0,0,,2020. 04. 08
7,0,-1,0,0,0,,2020. 04. 09
8,0,-1,0,0,0,,2020. 04. 10
9,0,-1,0,0,0,,2020. 04. 12
10,0,0,0,0,-1,,2020. 04. 13
11,0,-1,0,0,-1,,2020. 04. 14
12,-1,0,-1,0,0,,2020. 04. 16
13,-1,0,-1,0,0,,2020. 04. 17
14,0,-1,0,0,-1,,2020. 04. 18
15,0,0,0,0,-1,,2020. 04. 20
16,19,0,12,0,12,,2020. 04. 21
17,0,10,0,0,0,,2020. 04. 22
18,0,14,0,0,0,,2020. 04. 23
19,0,20,0,0,0,,2020. 04. 24
20,0,7,0,0,-1,,2020. 04. 26
21,0,0,0,0,20,,2020. 04. 27
22,30,0,21,0,0,,2020. 04. 28
23,0,21,0,0,0,,2020. 04. 29
24,0,15,0,0,0,,2020. 05. 03
25,0,0,0,0,0,,2020. 05. 06
26,0,17,0,0,18,,2020. 05. 09
27,0,0,0,0,0,,2020. 05. 15
28,0,19,0,0,0,,2020. 05. 17
