,11:00,13:20,14:30,15:40,16:50,<-,ÀÏÀÚ
0,0,-1,0,0,-1,,2020. 04. 01
1,0,-1,0,0,-1,,2020. 04. 02
2,0,-1,0,0,-1,,2020. 04. 03
3,0,0,0,-1,0,,2020. 04. 04
4,0,0,0,-1,0,,2020. 04. 05
5,0,-1,0,0,-1,,2020. 04. 06
6,0,-1,0,0,10,,2020. 04. 07
7,0,8,0,0,4,,2020. 04. 08
8,0,13,0,0,16,,2020. 04. 09
9,0,-1,0,0,1,,2020. 04. 10
10,0,0,0,-1,0,,2020. 04. 11
11,0,0,0,-1,0,,2020. 04. 12
12,0,19,0,0,21,,2020. 04. 13
13,0,18,0,0,24,,2020. 04. 14
14,20,0,16,0,0,,2020. 04. 15
15,0,14,0,0,16,,2020. 04. 16
16,0,12,0,0,17,,2020. 04. 17
17,0,0,0,4,0,,2020. 04. 18
18,0,0,0,7,0,,2020. 04. 19
19,0,19,0,0,22,,2020. 04. 20
20,0,22,0,0,26,,2020. 04. 21
21,0,21,0,0,26,,2020. 04. 22
22,0,22,0,0,24,,2020. 04. 23
23,0,18,0,0,23,,2020. 04. 24
24,0,0,0,19,0,,2020. 04. 25
25,0,0,0,18,0,,2020. 04. 26
26,0,22,0,0,23,,2020. 04. 27
27,0,22,0,0,22,,2020. 04. 28
28,0,18,0,0,23,,2020. 04. 29
29,23,0,21,0,0,,2020. 04. 30
