,0,1,2,3,4,<-,ÀÏÀÚ
0,0,-1,0,-1,0,,2020. 04. 01
1,0,-1,0,-1,0,,2020. 04. 02
2,0,-1,0,-1,0,,2020. 04. 03
3,-1,0,-1,0,0,,2020. 04. 04
4,0,-1,0,-1,0,,2020. 04. 06
5,0,-1,0,-1,0,,2020. 04. 07
6,0,-1,0,-1,0,,2020. 04. 08
7,0,0,-1,0,-1,,2020. 04. 09
8,0,-1,0,-1,0,,2020. 04. 10
9,-1,0,-1,0,0,,2020. 04. 12
10,0,-1,0,-1,0,,2020. 04. 13
11,0,-1,0,-1,0,,2020. 04. 14
12,0,-1,0,-1,0,,2020. 04. 16
13,0,-1,0,-1,0,,2020. 04. 17
14,-1,0,-1,0,0,,2020. 04. 18
15,0,-1,0,-1,0,,2020. 04. 20
16,0,-1,0,-1,0,,2020. 04. 21
17,0,-1,0,-1,0,,2020. 04. 22
18,0,-1,0,-1,0,,2020. 04. 23
19,0,-1,0,-1,0,,2020. 04. 24
20,-1,0,-1,0,0,,2020. 04. 26
21,0,-1,0,-1,0,,2020. 04. 27
22,0,-1,0,-1,0,,2020. 04. 28
23,0,10,0,13,0,,2020. 04. 29
24,0,15,0,11,0,,2020. 04. 30
25,-1,0,0,0,0,,2020. 05. 02
26,22,0,19,0,0,,2020. 05. 03
27,0,35,0,35,0,,2020. 05. 04
28,0,37,0,0,35,,2020. 05. 06
29,0,37,0,0,35,,2020. 05. 07
30,0,37,0,0,34,,2020. 05. 08
31,24,0,0,0,0,,2020. 05. 09
