,09:50,13:20,15:40,18:00,<-,ÀÏÀÚ
0,-1,-1,-1,-1,,2020. 04. 01
1,-1,-1,-1,-1,,2020. 04. 02
2,-1,-1,-1,-1,,2020. 04. 03
3,-1,-1,-1,-1,,2020. 04. 04
4,-1,-1,-1,-1,,2020. 04. 05
5,-1,-1,-1,-1,,2020. 04. 06
6,-1,-1,-1,-1,,2020. 04. 07
7,-1,-1,-1,-1,,2020. 04. 08
8,-1,-1,-1,-1,,2020. 04. 09
9,-1,-1,-1,-1,,2020. 04. 10
10,0,-1,-1,-1,,2020. 04. 11
11,0,-1,-1,-1,,2020. 04. 12
12,-1,-1,-1,10,,2020. 04. 13
13,12,-1,6,25,,2020. 04. 14
14,8,-1,5,28,,2020. 04. 15
15,14,5,9,24,,2020. 04. 16
16,17,1,3,9,,2020. 04. 17
17,-1,-1,-1,-1,,2020. 04. 18
18,8,3,9,29,,2020. 04. 19
19,16,16,15,0,,2020. 04. 20
20,18,20,19,32,,2020. 04. 21
21,18,17,18,33,,2020. 04. 22
22,20,17,18,35,,2020. 04. 23
23,22,22,16,15,,2020. 04. 24
24,14,14,20,13,,2020. 04. 25
25,35,16,16,34,,2020. 04. 26
26,23,18,22,0,,2020. 04. 27
27,16,18,20,34,,2020. 04. 28
28,19,19,22,35,,2020. 04. 29
29,17,17,17,35,,2020. 04. 30
30,17,20,20,18,,2020. 05. 01
31,17,18,13,20,,2020. 05. 02
32,21,19,16,0,,2020. 05. 03
33,30,21,28,0,,2020. 05. 04
34,30,30,27,0,,2020. 05. 05
35,32,32,35,0,,2020. 05. 06
36,34,32,32,0,,2020. 05. 07
37,33,31,28,31,,2020. 05. 08
38,23,17,20,25,,2020. 05. 09
