,0,1,2,3,4,<-,ÀÏÀÚ
0,0,0,-1,0,0,,2020. 04. 01
1,-1,0,0,-1,0,,2020. 04. 02
2,0,0,-1,0,0,,2020. 04. 03
3,-1,0,-1,0,0,,2020. 04. 04
4,-1,0,-1,0,0,,2020. 04. 05
5,0,0,-1,0,0,,2020. 04. 06
6,0,0,-1,0,0,,2020. 04. 07
7,-1,0,0,-1,0,,2020. 04. 08
8,-1,0,0,-1,0,,2020. 04. 09
9,0,0,-1,0,0,,2020. 04. 10
10,0,-1,0,-1,0,,2020. 04. 11
11,0,-1,0,-1,0,,2020. 04. 12
12,-1,0,0,0,-1,,2020. 04. 13
13,-1,0,0,-1,0,,2020. 04. 14
14,-1,0,-1,0,0,,2020. 04. 16
15,-1,0,0,0,-1,,2020. 04. 17
16,-1,0,-1,0,0,,2020. 04. 18
17,-1,0,-1,0,0,,2020. 04. 19
18,-1,0,-1,0,-1,,2020. 04. 20
19,-1,0,-1,0,-1,,2020. 04. 21
20,-1,0,-1,0,-1,,2020. 04. 22
21,-1,0,0,-1,0,,2020. 04. 23
22,-1,0,0,-1,0,,2020. 04. 24
23,0,-1,0,-1,0,,2020. 04. 25
24,0,-1,0,-1,0,,2020. 04. 26
25,1,0,0,-1,0,,2020. 04. 27
26,-1,0,0,-1,0,,2020. 04. 28
27,1,0,-1,0,0,,2020. 04. 29
