,08:40,09:50,13:20,15:40,18:00,<-,ÀÏÀÚ
0,0,-1,0,-1,-1,,2020. 04. 01
1,0,-1,-1,-1,-1,,2020. 04. 02
2,0,-1,-1,-1,0,,2020. 04. 03
3,-1,0,0,-1,-1,,2020. 04. 04
4,-1,0,-1,-1,-1,,2020. 04. 05
5,0,-1,-1,-1,-1,,2020. 04. 06
6,0,-1,-1,-1,-1,,2020. 04. 07
7,0,-1,0,-1,-1,,2020. 04. 08
8,0,-1,-1,-1,-1,,2020. 04. 09
9,0,-1,-1,-1,0,,2020. 04. 10
10,0,0,0,-1,-1,,2020. 04. 11
11,0,0,-1,-1,-1,,2020. 04. 12
12,0,-1,-1,-1,-1,,2020. 04. 13
13,0,11,1,5,30,,2020. 04. 14
14,0,9,0,-1,12,,2020. 04. 15
15,0,11,10,6,32,,2020. 04. 16
16,0,19,5,-1,0,,2020. 04. 17
17,-1,0,0,-1,-1,,2020. 04. 18
18,18,0,4,3,29,,2020. 04. 19
19,0,20,17,19,35,,2020. 04. 20
20,0,20,17,24,40,,2020. 04. 21
21,0,19,0,16,24,,2020. 04. 22
22,0,24,19,25,40,,2020. 04. 23
23,0,22,22,22,0,,2020. 04. 24
24,22,0,0,14,17,,2020. 04. 25
25,38,0,19,22,39,,2020. 04. 26
26,0,22,23,23,40,,2020. 04. 27
27,0,23,22,23,40,,2020. 04. 28
28,0,19,0,26,22,,2020. 04. 29
29,0,26,21,24,40,,2020. 04. 30
30,0,19,20,25,0,,2020. 05. 01
31,23,0,0,20,22,,2020. 05. 02
32,21,0,18,21,0,,2020. 05. 03
33,0,31,25,28,0,,2020. 05. 04
34,0,37,32,38,0,,2020. 05. 05
35,0,38,0,39,37,,2020. 05. 06
36,0,39,40,37,0,,2020. 05. 07
37,0,37,35,29,0,,2020. 05. 08
38,35,0,0,21,28,,2020. 05. 09
