,09:50,13:20,15:40,18:00,<-,ÀÏÀÚ
0,-1,-1,-1,-1,,2020. 04. 01
1,-1,-1,-1,-1,,2020. 04. 02
2,-1,-1,-1,-1,,2020. 04. 03
3,-1,-1,-1,-1,,2020. 04. 04
4,-1,-1,-1,-1,,2020. 04. 05
5,-1,-1,-1,-1,,2020. 04. 06
6,-1,-1,-1,-1,,2020. 04. 07
7,-1,-1,-1,-1,,2020. 04. 08
8,-1,-1,-1,-1,,2020. 04. 09
9,-1,-1,-1,-1,,2020. 04. 10
10,0,-1,-1,-1,,2020. 04. 11
11,0,-1,-1,-1,,2020. 04. 12
12,-1,-1,-1,-1,,2020. 04. 13
13,-1,-1,-1,-1,,2020. 04. 14
14,-1,-1,-1,-1,,2020. 04. 15
15,-1,-1,-1,-1,,2020. 04. 16
16,-1,-1,-1,-1,,2020. 04. 17
17,-1,-1,-1,-1,,2020. 04. 18
18,-1,-1,-1,-1,,2020. 04. 19
19,15,12,15,0,,2020. 04. 20
20,20,17,18,30,,2020. 04. 21
21,18,16,15,33,,2020. 04. 22
22,19,16,20,35,,2020. 04. 23
23,20,21,16,17,,2020. 04. 24
24,15,8,20,13,,2020. 04. 25
25,35,15,18,34,,2020. 04. 26
26,23,20,23,0,,2020. 04. 27
27,18,18,21,33,,2020. 04. 28
28,22,19,23,34,,2020. 04. 29
29,18,19,18,35,,2020. 04. 30
30,17,21,19,18,,2020. 05. 01
31,18,18,13,21,,2020. 05. 02
32,21,18,16,0,,2020. 05. 03
33,30,22,28,0,,2020. 05. 04
34,29,30,27,0,,2020. 05. 05
35,31,32,35,0,,2020. 05. 06
36,34,32,32,0,,2020. 05. 07
37,33,31,27,32,,2020. 05. 08
38,23,19,19,23,,2020. 05. 09
